대여일자,대여소명,대여건수합계
2019-07-01,1362. 보문역6번출구 앞,1452
2019-07-01,1363. 보문4교 인근,2135
2019-07-01,1364. 성북동 치안센터 앞,650
2019-07-01,1365. 선잠단지 앞,318
2019-07-01,1366. 일신초등학교 옆,334
2019-07-01,1367. 길음문화복합미디어센터,518
2019-07-01,1368. 성신여대입구 교차로,1211
2019-07-01,1369. 미아사거리,1133
2019-07-01,1370. 복자사랑 피정의 집,515
2019-07-01,1372. KEB은행 고대점,2617
2019-07-01,1373. 성북구보건소 건너편,731
2019-07-01,1375. 생명의 전화 종합복지관 앞 교차로,1346
2019-07-01,1376. 한국과학기술연구원 중문,340
2019-07-01,1377. 한국과학기술연구원 북문,390
2019-08-01,1302. 한성대입구역6번출구 뒤,811
2019-08-01,1303. 돈암초교 입구,1334
2019-08-01,1304. 만해공원,425
2019-08-01,1305. 성북구청,968
2019-08-01,1306. 한성대입구역2번출구,1800
2019-08-01,1308. 안암로터리 버스정류장 앞,5810
2019-08-01,1313. 정릉교회 앞,530
2019-08-01,1314. 정릉꿈에그린1단지 201동 앞,378
2019-08-01,1315. 고려사대부속중고 정문,545
2019-08-01,1316. 고려사대부속중고 건너편,494
2019-08-01,1318. 길음역 3번출구 뒤,1288
2019-08-01,1319. 종암사거리 분수대,2013
2019-08-01,1320. LG베스트샵 종암점,1884
2019-08-01,1321. 국민은행 종암동지점 앞,2563
2019-08-01,1322. 래미안라센트아파트 103동 앞,1047
2019-08-01,1323. 월곡역 입구 육교 밑,801
2019-08-01,1325. 상월곡역 4번출구,584
2019-08-01,1326. 상월곡역 1번출구,842
2019-08-01,1327. 상월곡역 3번출구,962
2019-08-01,1328. 월곡역 3번출구,2254
2019-08-01,1332. 석계역 5번출구 건너편,1860
2019-08-01,1333. 석관초등학교 앞,1480
2019-08-01,1334. 석관동주민센터 앞,843
2019-08-01,1336. 성북3교 위,1768
2019-08-01,1337. 돈암성당 옆,3015
2019-08-01,1338. 용문2교 옆,1137
2019-08-01,1339. 삼성전자서비스 성북센터,1207
2019-08-01,1342. 성북쉼터 앞,263
2019-08-01,1343. 한성대7번출구 앞,829
2019-08-01,1344. 아리랑시네센터 앞,660
2019-08-01,1346. 길음8골어린이공원 옆,906
2019-08-01,1347. 길음래미안아파트817동 상가 앞,427
2019-08-01,1348. 성북제일새마을금고 본점 앞,472
2019-08-01,1349. 월계2교 버스정류장 앞,539
2019-08-01,1351. 안암2교 옆,1854
2019-08-01,1352. e 편한세상 보문아파트 내,399
2019-08-01,1353. 금호어울림센터힐 내,320
2019-08-01,1354. 고려대학교 2번출구,2131
2019-08-01,1355. 보문2교,2099
2019-08-01,1357. 북한산보국문역,614
2019-08-01,1358. 정릉도서관 앞,566
2019-08-01,1359. 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,849
2019-08-01,1360. 정릉역,370
2019-08-01,1361. 홍익중고 입구,1254
2019-08-01,1362. 보문역6번출구 앞,1383
2019-08-01,1363. 보문4교 인근,1930
2019-08-01,1364. 성북동 치안센터 앞,672
2019-08-01,1365. 선잠단지 앞,268
2019-08-01,1366. 일신초등학교 옆,357
2019-08-01,1367. 길음문화복합미디어센터,423
2019-08-01,1368. 성신여대입구 교차로,1137
2019-08-01,1369. 미아사거리,1053
2019-08-01,1370. 복자사랑 피정의 집,518
2019-08-01,1372. KEB은행 고대점,2361
2019-08-01,1373. 성북구보건소 건너편,755
2019-08-01,1375. 생명의 전화 종합복지관 앞 교차로,1302
2019-08-01,1376. 한국과학기술연구원 중문,292
2019-08-01,1377. 한국과학기술연구원 북문,367
2019-09-01,1302. 한성대입구역6번출구 뒤,749
2019-09-01,1303. 돈암초교 입구,1300
2019-09-01,1304. 만해공원,324
2019-09-01,1305. 성북구청,1010
2019-09-01,1306. 한성대입구역2번출구,1891
2019-09-01,1308. 안암로터리 버스정류장 앞,6057
2019-09-01,1313. 정릉교회 앞,508
2019-09-01,1314. 정릉꿈에그린1단지 201동 앞,371
2019-09-01,1315. 고려사대부속중고 정문,447
2019-09-01,1316. 고려사대부속중고 건너편,498
2019-09-01,1318. 길음역 3번출구 뒤,1222
2019-09-01,1319. 종암사거리 분수대,2155
2019-09-01,1320. LG베스트샵 종암점,2111
2019-09-01,1321. 국민은행 종암동지점 앞,2902
2019-09-01,1322. 래미안라센트아파트 103동 앞,1049
2019-09-01,1323. 월곡역 입구 육교 밑,807
2019-09-01,1325. 상월곡역 4번출구,567
2019-09-01,1326. 상월곡역 1번출구,889
2019-09-01,1327. 상월곡역 3번출구,1064
2019-09-01,1328. 월곡역 3번출구,2551
2019-09-01,1332. 석계역 5번출구 건너편,2157
2019-09-01,1333. 석관초등학교 앞,1619
2019-09-01,1334. 석관동주민센터 앞,881
2019-09-01,1336. 성북3교 위,1750
2019-09-01,1337. 돈암성당 옆,3153
2019-09-01,1338. 용문2교 옆,1170
2019-09-01,1339. 삼성전자서비스 성북센터,1217
2019-09-01,1340. 광운초등학교 앞,73
2019-09-01,1342. 성북쉼터 앞,244
2019-09-01,1343. 한성대7번출구 앞,592
2019-09-01,1344. 아리랑시네센터 앞,549
2019-09-01,1346. 길음8골어린이공원 옆,898
2019-09-01,1347. 길음래미안아파트817동 상가 앞,507
2019-09-01,1348. 성북제일새마을금고 본점 앞,493
2019-09-01,1349. 월계2교 버스정류장 앞,637
2019-09-01,1351. 안암2교 옆,1918
2019-09-01,1352. e 편한세상 보문아파트 내,324
2019-09-01,1353. 금호어울림센터힐 내,368
2019-09-01,1354. 고려대학교 2번출구,2456
2019-09-01,1355. 보문2교,2470
2019-09-01,1357. 북한산보국문역,621
2019-09-01,1358. 정릉도서관 앞,611
2019-09-01,1359. 장위뉴타운 꿈에 숲 코오롱 하늘채 앞,759
2019-09-01,1360. 정릉역,446
2019-09-01,1361. 홍익중고 입구,765
2019-09-01,1362. 보문역6번출구 앞,1419
2019-09-01,1363. 보문4교 인근,1886
2019-09-01,1364. 성북동 치안센터 앞,716
2019-09-01,1365. 선잠단지 앞,371
2019-09-01,1366. 일신초등학교 옆,410
2019-09-01,1367. 길음문화복합미디어센터,472
2019-09-01,1368. 성신여대입구 교차로,1409
2019-09-01,1369. 미아사거리,1281
2019-09-01,1370. 복자사랑 피정의 집,468
2019-09-01,1372. KEB은행 고대점,2704
2019-09-01,1373. 성북구보건소 건너편,878
2019-09-01,1375. 생명의 전화 종합복지관 앞 교차로,1433
2019-09-01,1376. 한국과학기술연구원 중문,305
2019-09-01,1377. 한국과학기술연구원 북문,376
2019-10-01,1302. 한성대입구역6번출구 뒤,881
2019-10-01,1303. 돈암초교 입구,1600
2019-10-01,1304. 만해공원,412
2019-10-01,1305. 성북구청,1213
2019-10-01,1306. 한성대입구역2번출구,2077
2019-10-01,1308. 안암로터리 버스정류장 앞,7181
2019-10-01,1313. 정릉교회 앞,625
2019-10-01,1314. 정릉꿈에그린1단지 201동 앞,374
2019-10-01,1315. 고려사대부속중고 정문,488
2019-10-01,1316. 고려사대부속중고 건너편,517
2019-10-01,1318. 길음역 3번출구 뒤,1642
2019-10-01,1319. 종암사거리 분수대,2613
2019-10-01,1320. LG베스트샵 종암점,2347
2019-10-01,1321. 국민은행 종암동지점 앞,3284
2019-10-01,1322. 래미안라센트아파트 103동 앞,1234
2019-10-01,1323. 월곡역 입구 육교 밑,916
2019-10-01,1325. 상월곡역 4번출구,780
2019-10-01,1326. 상월곡역 1번출구,896
2019-10-01,1327. 상월곡역 3번출구,1334
2019-10-01,1328. 월곡역 3번출구,3038
2019-10-01,1332. 석계역 5번출구 건너편,2298
2019-10-01,1333. 석관초등학교 앞,2018
2019-10-01,1334. 석관동주민센터 앞,1070
2019-10-01,1336. 성북3교 위,1979
2019-10-01,1337. 돈암성당 옆,3608
2019-10-01,1338. 용문2교 옆,1205
2019-10-01,1339. 삼성전자서비스 성북센터,1420
2019-10-01,1340. 광운초등학교 앞,876
2019-10-01,1342. 성북쉼터 앞,215
2019-10-01,1343. 한성대7번출구 앞,749
2019-10-01,1344. 아리랑시네센터 앞,567
2019-10-01,1346. 길음8골어린이공원 옆,1096
2019-10-01,1347. 길음래미안아파트817동 상가 앞,636
2019-10-01,1348. 성북제일새마을금고 본점 앞,613
2019-10-01,1349. 월계2교 버스정류장 앞,696
